Station Name -  WRLDC
REPORT FOR VOLTTEMP FROM 22-07-2019 TO 22-07-2019
Timestamp,KSTPS 4B1 KV,VSTPS 4B1 KV,STNA4 4B1 KV,JBLPR 4B1 KV,ITRSI 4B1 KV,KHNDW 4B1 KV,BHDRV 4B1 KV,RAIPR 4B1 KV,JHNOR 4B1 KV,MPUSA 4B1 KV,DGHAM 4B1 KV,STP4 4B1 KV,INDR 4B1 KV,NAG4 4B1 KV,BHP4 4B1 KV,BIN4 4B1 KV,KORAD 4_B1 KV,BHSW4 4_B2 KV,BBLSR 4_B2 KV,PADG4 4_B1 KV,KALW4 4_B1 KV,KARGR 4_B1 KV,LONKD 4_B1 KV,KOYNA 4_B1 KV,KOYN4 4_B1 KV,KARD4 4_B1 KV,KLPR4 4_B1 KV,PARL2 4_B1 KV,CHDPR 4_B1 KV,DHUL4 4_B1 KV,SLPR4 4_B1 KV,ARBD4 4_B1 KV,ASOJ 4B1 KV,CHOR 4B1 KV,JETP 4B1 KV,WTPS 4B1 KV,SOJA 4B1 KV,UKTH 4B1 KV,CLPI 4B1 KV,KSOR 4B1 KV,KNSR 4B1 KV,BHIL4 4B1 KV,KRBW4 4B1 KV,GWALR 4B1 KV,NAG4 4B1 KV,RAJGH 4B1 KV,WARDH 4B1 KV,SEON7 7B1 KV,SIPAT 7B1 KV,AKOL4 4B1 KV,DAMOH 4B1 KV,SGTP 4B1 KV,GWALR 7B1 KV,BINA7 7B1 KV,WARDH 7B1 KV,BLSPR 7B1 KV,INDOR 7B1 KV,STNA7 7B1 KV,SASAN 7B1 KV,KTN4 4B1 KV,BHTPR 4B1 KV,RAIGR 4B1 KV,RAIPR 4B1 KV,JINDL 4B1 KV,BACHU 4B1 KV,CHOR 4B1 KV,KNSR 4B1 KV,AMRL 4B1 KVRY,VRSN 4B1 KV,VADI 4B1 KV,PIRNA 4B1 KV,RGPPL 4B1 KV,SJLPR 4B1 KV,TMNR7 7B1 KV,KOTRA 7B1 KV,DURG7 7B1 KV,VAPI4 4B1 KV,BOISR 4B1 KV,KALA4 4B1 KV,DAMAN 4B1 KV,ARGBD 7B1 KV,HAZRA 4B1 KV,VADOD 7B1 KV,JBPR7 7B1 KV,SOLPR 7B1 KV,TIRO7 7B1 KV,AKOL7 7B1 KV,KORD7 7B1 KV,DHUL7 7B1 KV,BHPL7 7B1 KV,DRMGH 7B1 KV,PUNE7 7B1 KV,CHMPA 7B1 KV,EKTN7 7B1 KV,GDRWD 7B1 KV,REWA4 4B1 KV
22-07-2019 00:00:00,419.09,407.26,401.38,410.32,405.63,415.59,420.28,416.06,415.01,432,415.6,416.77,408.74,409.57,406.33,403.71,322.49,425.32,417.96,399.1,417.19,409.98,412.85,420.3,414.05,425.3,423.58,420.39,423.96,421.58,415.02,424.91,411.7,419.4,415.83,414.59,414.77,424.96,423.99,419.77,414.16,410.56,418,395.58,409.57,417.49,423.05,785,779.91,422.49,413.32,413.96,768.93,771.17,790.9,780.11,763.12,767.84,766.6,408.07,414,419.99,416.06,414.81,418.15,419.4,414.16,418.44,416.17,419.68,413.92,418.86,405.14,795.31,794.86,784.4,410.91,414.42,413.45,415.47,788.09,415.77,777.67,786.54,791.65,764.52,782.12,769.91,776.63,766.25,780.86,763.67,795.84,783.58,790.18,418.4
22-07-2019 00:01:00,419.09,406.36,401.38,410.32,405.05,415.01,420.28,416.06,414.42,432,415.45,416.77,408.48,409.1,405.86,403.45,419.43,425.12,417.96,399.1,417.19,409.98,412.85,420.3,414.05,424.81,423.58,420.39,417.34,423.96,415.02,424.91,411.29,419.02,415.24,414.59,414.38,424.35,423.99,419.44,414.16,410.29,417.71,394.89,409.1,417.49,423.05,785,779.91,420.99,412.99,413.96,768.93,771.17,789.92,779.72,761.85,767.84,766.6,407.85,414,420.09,416.06,414.81,418.15,419.02,414.16,418.44,416.17,419.68,413.92,418.86,405.14,794.59,794.24,784.4,410.32,414.42,413.45,415.47,787.67,415.77,776.56,786.54,790.76,764.81,782.42,770.26,776.63,766.25,780.86,763.16,795.36,783.58,790.18,418.1
22-07-2019 00:02:00,419.09,406.36,401.38,410.32,405.05,415.01,420.28,416.06,413.84,432,415.45,416.77,408.34,409.06,406.04,403.38,419.92,424.64,417.96,397.28,417.19,409.19,412.98,420.3,414.05,425.3,423.58,420.39,422.74,423.96,415.02,424.53,410.67,417.86,415.24,413.66,413.98,423.74,423.99,419.61,414.16,410.29,417.71,394.62,409.06,417.49,423.05,785,779.91,424.63,412.75,413.35,768.93,769.33,789.54,779.83,761.66,767.84,765.83,408.18,414,420.09,416.06,414.21,418.15,417.86,414.16,418.44,415.58,419.68,413.01,419.47,405.14,794.59,794.24,784.4,410.32,414.42,413.45,415.47,787.22,415.77,776.56,786.54,790.12,763.97,781.83,769.14,776.63,765.31,780.86,762.98,794.64,783.58,790.18,417.96
22-07-2019 00:03:00,418.31,406.36,401.38,409.73,404.46,414.42,420.28,416.06,413.25,430.83,414.53,416.77,407.83,408.52,405.82,403.05,419.92,420.57,416.98,402.23,416.36,409.19,412.51,420.3,414.05,424.81,423.58,420.39,422.37,423.96,415.02,424.53,410.47,417.48,415.24,413.66,413.39,423.74,423.99,418.78,414.16,410.29,417.71,394.62,408.52,417.49,423.05,784,779,420.92,413.18,413.35,768.93,769.33,787.98,778.77,761.51,767.84,765.02,408.14,414,419.34,416.06,414.21,418.15,417.48,414.16,418.44,415.58,419.1,412.08,418.86,404.66,794.09,793.86,784.4,409.73,413.84,413.45,415.47,786.28,413.34,775.17,786.54,789.58,763.49,781.25,769.34,776.63,764.35,780.86,762.27,794.01,783.58,790.18,417.63
22-07-2019 00:04:00,418.31,406.36,400.38,409.15,403.87,413.84,419.7,416.06,413.25,430.83,414.08,416.77,407.57,408.37,404.95,402.47,419.43,420.57,416.98,397.94,416.36,408.01,412.06,420.3,414.05,424.81,423.58,420.39,422.27,422.25,415.02,424.03,410.47,417.29,414.65,413.66,413.39,423.74,423.99,418.78,414.16,410.29,417.58,394.2,408.37,416.49,423.05,784,779,421.75,413.14,413.35,768.93,767.48,788.77,778.08,760.18,767.84,765.02,407.27,414,418.79,416.06,414.21,418.15,417.29,414.16,418.44,415.58,419.1,411.63,418.25,404.18,793.82,793.25,784.4,409.15,413.84,413.45,415.47,786.28,413.34,775.17,786.54,789.63,763.49,780.56,769.28,776.63,764.35,780.86,761.45,794.82,783.58,788.31,417.36
22-07-2019 00:05:00,418.31,406.36,400.38,409.15,403.87,413.84,419.7,416.06,412.66,431.42,414.08,416.18,407.5,408.19,404.66,402.32,419.43,420.57,417.47,397.94,416.36,408.01,412.4,420.3,414.05,425.3,423.58,419.22,415.29,422.25,415.02,423.9,409.85,417.29,414.65,413.66,413.39,423.74,423.99,418.78,414.16,409.88,417.58,393.57,408.19,416.49,423.05,781,779,422,411.83,412.74,764.55,767.48,788.31,778.27,759.57,767.84,764.25,406.94,413,419.89,416.06,414.21,418.15,417.29,414.16,418.44,415.58,418.51,411.63,419.47,404.18,793.72,793.17,784.4,409.73,414.42,413.45,415.47,785.33,413.34,774.14,786.54,788.23,763.36,781.78,769.79,776.63,763.42,780.86,762.32,793.38,783.58,788.31,417.18
22-07-2019 00:06:00,418.31,406.36,400.38,409.15,403.87,413.84,419.7,415.08,413.25,431.42,413.92,416.18,407.46,408.15,404.59,402.29,419.43,418.19,416.98,397.94,416.36,408.01,412.26,420.3,414.05,424.81,423.58,419.22,415.01,422.25,415.02,423.9,409.85,417.29,414.65,413.66,413.39,423.13,422.61,418.61,414.16,409.88,417.71,393.71,408.15,416.49,423.05,783,778.1,422.88,411.77,412.74,764.55,767.48,788.5,778.66,758.9,767.84,764.25,407.12,414,419.52,415.08,414.21,418.15,417.29,414.16,418.44,415.58,418.51,411.63,418.86,403.67,793.45,793.01,784.4,409.15,413.84,413.45,415.47,785.38,413.34,774.14,786.54,789.2,763.14,780.48,768.04,776.63,763.42,780.86,761.91,794.72,783.58,788.31,417.07
22-07-2019 00:07:00,418.31,406.36,399.88,409.15,403.87,413.84,419.7,416.06,412.66,431.42,414.08,416.18,407.43,408.12,404.62,402.21,419.43,416.43,416.98,396.46,416.98,408.14,412.33,420.3,414.05,424.81,423.58,419.22,420.4,420.68,415.02,423.9,409.85,417.29,414.65,413.66,413.39,423.13,422.61,418.44,414.16,409.88,417.44,393.42,408.12,416.49,423.05,783,778.1,422.69,412.5,412.74,764.55,767.48,787.91,779.19,758.55,767.84,764.25,407.23,413,419.74,416.06,414.21,418.15,417.29,414.16,418.44,415.58,418.51,411.63,418.86,403.67,793.07,792.87,784.4,409.15,413.84,413.45,415.47,785.38,413.34,774.14,786.54,789.64,764.55,781.64,769.37,776.63,763.42,780.86,761.63,794.39,783.58,788.31,416.84
22-07-2019 00:08:00,418.31,406.36,399.88,408.56,403.29,413.84,419.7,416.06,412.66,431.42,414.08,416.18,407.43,408.12,404.55,402.1,418.94,419.48,416.49,394.55,416.23,408.14,411.86,420.3,414.05,424.81,423.58,419.91,423.11,423.55,415.02,423.9,409.65,417.09,414.65,413.66,413.39,423.13,422.61,418.44,414.16,409.88,417.58,393.6,408.12,416.49,423.05,782,778.1,423.19,411.71,412.74,764.55,767.48,788.41,777.51,760.53,767.84,764.25,406.94,413,418.98,416.06,414.21,417.67,417.09,414.16,418.44,415.58,418.51,411.63,419.47,403.67,793.39,792.97,784.4,409.73,413.84,412.01,415.47,785.36,413.34,774.12,786.54,789.05,763.8,780.55,769.07,776.63,763.42,780.86,761.81,794.63,783.58,788.31,416.86
22-07-2019 00:09:00,418.31,406.36,399.88,408.56,403.87,413.84,419.7,416.06,413.25,430.83,414.23,416.18,407.5,408.26,404.4,401.85,418.94,419.48,416.98,401.77,416.23,408.14,412.2,420.3,414.05,424.81,423.58,419.91,418.91,422.12,415.02,423.64,409.85,417.29,414.65,413.66,413.39,423.74,422.61,418.61,414.16,409.88,417.58,392.92,408.26,416.49,423.05,782,778.1,420.56,411.59,412.74,764.55,767.48,788.24,777.73,760.16,764.61,764.25,406.76,414,418.88,416.06,413.61,417.67,417.29,414.16,418.44,415.58,418.51,411.63,418.86,403.67,793.39,793.15,784.4,409.15,413.84,412.01,415.47,785.33,413.34,774.12,786.54,788.95,763.05,779.95,768.94,776.63,762.47,780.86,761.5,794.18,780.82,788.31,416.9
22-07-2019 00:10:00,418.31,406.36,399.88,408.56,403.29,413.84,419.7,416.06,412.66,430.83,414.23,416.18,407.32,408.12,404.15,401.7,418.94,424.3,416.98,397.07,416.23,408.14,411.99,420.3,414.05,424.32,423.58,419.91,422.93,422.12,415.02,423.64,409.85,417.29,414.65,413.66,413.39,423.74,422.46,418.78,414.16,409.88,417.3,393.14,408.12,416.49,423.05,783,778.1,423.48,411.7,412.74,764.55,767.48,787.44,778.76,759.6,764.61,764.25,406.65,413,418.88,416.06,413.61,417.67,417.29,414.16,418.44,415.58,418.51,412.1,418.25,403.67,793.39,792.89,784.4,409.15,413.84,412.01,415.47,785.33,410.83,774.12,786.54,787.8,763.19,780.72,767.89,776.63,762.47,780.86,761.3,792.93,780.82,788.31,416.89
